name,type,region,locality,geolocation
Olga Assumption Convent in the Ryazan region (Lgovskii Monastery),monasteries,Ryazan Oblast,Lgov,Not found
Assumption Monastery Orlovsky (Orlovsky bishop's house),monasteries,Oryol Region,Eagle,"(Decimal('35.355435'), Decimal('52.469011'))"
Otroch Assumption Monastery in Tver,monasteries,Tver region,Tver,"(Decimal('35.911995'), Decimal('56.859847'))"
"Assumption St. George Monastery ""Holy Bushes""",monasteries,Republic of Bashkortostan,Usa Stepanovka,Not found
Cheremshansky Assumption Monastery,monasteries,Saratov region,Hvalynsk,"(Decimal('48.054711'), Decimal('52.452417'))"
Assumption Convent in Spirovo,monasteries,Tver region,Spirov,Not found
Assumption Convent in the city of Perm,monasteries,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Assumption Monastery in Ivanovo region Dunilovo,monasteries,Ivanovo region,Shuya,Not found
Ust-Medveditsk Spaso-Preobrazhensky convent,monasteries,Volgograd region,Iron,Not found
Theodore Pereslavsky convent in the Yaroslavl region,monasteries,Yaroslavskaya oblast,Pereslavl,"(Decimal('38.854373'), Decimal('56.739194'))"
Theodore convent,monasteries,Yaroslavskaya oblast,Pereslavl,"(Decimal('38.817506'), Decimal('56.715322'))"
Feofilova desert,monasteries,Pskov region,Porechie (Hredinskaya town),"(Decimal('29.453063'), Decimal('58.264805'))"
Philip Irapsky Monastery,monasteries,Vologda Region,green Beach,"(Decimal('37.181045'), Decimal('59.325368'))"
Nativity Slobodskoi convent,monasteries,Kirov region,Slobodskoy,"(Decimal('50.183674'), Decimal('58.731886'))"
Nativity Convent in Tver,monasteries,Tver region,Tver,Not found
Hristoforova desert,monasteries,Arhangelsk region,Shalimov,"(Decimal('47.22545'), Decimal('61.186192'))"
Tsarevokokshaisk Virgin Sergius Cheremis convent,monasteries,Mari El Republic,Yoshkar-Ola,Not found
Cherdynsky John the Theologian Monastery in the Perm region,monasteries,Perm,SCW,"(Decimal('56.479543'), Decimal('60.402836'))"
"Sheltomezhsky Shestokovsky Ascension Monastery (Yaroslavl region, with. Sheldomezh)",monasteries,Yaroslavskaya oblast,,Not found
Yaransk Znamensko-Mariinsky convent,monasteries,Kirov region,Yaransk,"(Decimal('47.885855'), Decimal('57.304228'))"
Yaransk Prorochitsky Monastery,monasteries,Kirov region,Yaransk,"(Decimal('47.885855'), Decimal('57.304228'))"
Kursk Root Hermitage,monasteries,Kursk region,,"(Decimal('36.837251'), Decimal('51.989966'))"
Mozhajskij Luzhetsky Ferapontov Monastery,monasteries,Moscow region,Mozhaisk,"(Decimal('36.017358'), Decimal('55.506714'))"
Nikitsky monastery,monasteries,Yaroslavskaya oblast,,"(Decimal('39.105138'), Decimal('57.817361'))"
Vvedensky Nunnery,monasteries,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
Holy Assumption Monastery,monasteries,Kurgan region,More information about,"(Decimal('62.939311'), Decimal('56.258608'))"
Monastery of Saint Euthymius,monasteries,Vladimir region,Suzdal,"(Decimal('40.449457'), Decimal('56.419836'))"
Spaso-Yakovlevsky Dimitriev monastery,monasteries,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Glyadenovskoe kostische in the Perm region,pagan temples,Perm,Şumki,Not found
fox mountain,Nature,Vologda Region,Kadnikov,"(Decimal('40.316983'), Decimal('59.524625'))"
Tiunovskoe sanctuary,Nature,Vologda Region,Tiunovskaya,"(Decimal('43.679584'), Decimal('60.408942'))"
Sun Temple Ulugh Horum,pagan temples,Tyva Republic,Saglam,"(Decimal('91.172138'), Decimal('50.4637'))"
church of the Annunciation,Abandoned shrine,Perm,Покча,"(Decimal('56.455783'), Decimal('60.454972'))"
The former building of the Lutheran church,Abandoned shrine,Astrakhan region,Astrakhan,Not found
Vvedensky church,Abandoned shrine,Perm,Kamgort,"(Decimal('56.498022'), Decimal('60.581818'))"
Dedov Trinity men's deserts,Abandoned shrine,Vologda Region,,"(Decimal('37.863459'), Decimal('59.824375'))"
Abandoned Armenian church,Abandoned shrine,Republic of Crimea,rich,"(Decimal('34.767649'), Decimal('45.0274'))"
Catholic church in the village of Kamenka,Abandoned shrine,Saratov region,Kamenka,"(Decimal('45.429205'), Decimal('50.701447'))"
Cyril and Chelmogorskaya desert,Abandoned shrine,Arhangelsk region,Eagle,"(Decimal('42.657777'), Decimal('62.593468'))"
Holy Cross Cathedral,Abandoned shrine,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
Lutheran Church in the village of Ust-Zoliha,Abandoned shrine,Saratov region,Ust-Zoliha,Not found
St. Nicholas Church in Pyskor,Abandoned shrine,Perm,Pyskor,Not found
Novoaleksandrovsky Ascension Church,Abandoned shrine,Krasnoyarsk region,Novoaleksandrovka,"(Decimal('96.579628'), Decimal('56.422729'))"
Peter and Paul church,Abandoned shrine,Perm,Just right,"(Decimal('56.347832'), Decimal('59.303163'))"
church of the Intercession,Abandoned shrine,Perm,,"(Decimal('55.989926'), Decimal('58.60714'))"
church of the Intercession,Abandoned shrine,Udmurt republic,exit,"(Decimal('53.461339'), Decimal('56.366844'))"
church of the Transfiguration,Abandoned shrine,Perm,SCW,"(Decimal('56.479543'), Decimal('60.402836'))"
Holy Trinity Church,Abandoned shrine,Udmurt republic,dig,"(Decimal('51.751908'), Decimal('57.379891'))"
Holy Trinity Church,Abandoned shrine,Krasnoyarsk region,Suxoʙuzimskoe,"(Decimal('93.274771'), Decimal('56.501188'))"
The holy cave in the village of Pokrovka,Abandoned shrine,Orenburg region,Pokrovsky,Not found
Savior's Church in the village Porshenskaya Kazakovo,Abandoned shrine,Arhangelsk region,Kazakovo,"(Decimal('47.681569'), Decimal('61.213928'))"
church of Our Savior,Abandoned shrine,Perm,Limezh,"(Decimal('56.335759'), Decimal('60.081385'))"
cheese monastery,Abandoned shrine,Novgorod region,Syrkovskoe,"(Decimal('31.270831'), Decimal('58.479475'))"
Trinity church,Abandoned shrine,Perm,Vilgort,"(Decimal('56.463661'), Decimal('60.562411'))"
Xram involvement Erdы,Abandoned shrine,The Republic of Ingushetia,Targim,"(Decimal('44.942354'), Decimal('42.835125'))"
Church of the Ascension of the Lord on Vorbase,Abandoned shrine,Arhangelsk region,Penigeevskaya,Not found
Temple Irina Thessalonica,Abandoned shrine,Leningrad region,,Not found
Temple of Archangel Michael,Abandoned shrine,Arhangelsk region,Shalimov,"(Decimal('47.460691'), Decimal('61.204018'))"
Temple of St. Nicholas,Abandoned shrine,Perm,Redikor,"(Decimal('56.459187'), Decimal('60.18677'))"
Temple of St. Nicholas of Myra,Abandoned shrine,Republic of North Ossetia - Alania,,"(Decimal('44.262033'), Decimal('43.092669'))"
Temple sanctuary mints-Seli,Abandoned shrine,The Republic of Ingushetia,,"(Decimal('45.054581'), Decimal('43.10359'))"
Church of the Archangel (Archangel) Michael,Orthodox churches,Novgorod region,,Not found
Church of the Annunciation,Abandoned shrine,Arhangelsk region,Pustynka,Not found
Church of Our Lady of Vladimir,Ruin,Perm,Usolye,Not found
Church of the Exaltation of the Holy Cross,Abandoned shrine,Perm,Bondyug,Not found
Church Datong,Abandoned shrine,The Republic of Dagestan,Datuna,"(Decimal('46.645255'), Decimal('42.475871'))"
Church of St. Nicholas,Abandoned shrine,Leningrad region,,"(Decimal('29.97953'), Decimal('59.810568'))"
Church of St. Paraskeva,Abandoned shrine,Krasnoyarsk region,Barabanov,"(Decimal('93.420145'), Decimal('56.287157'))"
Church of the Nativity of the Blessed Virgin Mary,Abandoned shrine,Transbaikal region,,Not found
Church of the Nativity of the Blessed Virgin Mary,Abandoned shrine,Murmansk region,,Not found
Church of the Holy Trinity,Abandoned shrine,Leningrad region,,Not found
Chapel of St. George in Havrogorah,Orthodox churches,Arhangelsk region,Havrogory,"(Decimal('41.876162'), Decimal('63.442493'))"
St. George's church,Abandoned shrine,Udmurt republic,Kulyushevo,"(Decimal('53.566325'), Decimal('56.054558'))"
Altufievsky Parks and Estates,"Gardens, squares, parks",Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
Alfjorovo,Granges,Vladimir region,,"(Decimal('41.218739'), Decimal('55.515941'))"
Vasylevskoe,Granges,Vladimir region,Kolchugino,"(Decimal('39.376042'), Decimal('56.293901'))"
Velikovo,Granges,Vladimir region,Velikovo,"(Decimal('41.281522'), Decimal('56.244375'))"
great,Granges,Vladimir region,,"(Decimal('42.303356'), Decimal('56.280881'))"
Volokhova,Granges,Vladimir region,Volokhova,"(Decimal('38.515555'), Decimal('56.393185'))"
Voskresenskoe,Granges,Vladimir region,Voskresenskoe,"(Decimal('39.858617'), Decimal('56.452832'))"
Patrimony AV Suvorov Undole,Granges,Vladimir region,Lakinsk,"(Decimal('39.956525'), Decimal('56.018001'))"
The latter,Granges,Vladimir region,,"(Decimal('40.796674'), Decimal('56.267537'))"
Godunov,Granges,Vladimir region,Godunov,"(Decimal('39.036183'), Decimal('56.484079'))"
City mansion Myasoedova,Granges,Moscow,,"(Decimal('37.617626'), Decimal('55.715003'))"
Cottage SI Senkova Vyazniky,Granges,Vladimir region,Vyazniki,Not found
Cottage SN Tatarintseva Vyazniky,Granges,Vladimir region,Vyazniki,Not found
dacha Stambol,Granges,Republic of Crimea,Theodosius,"(Decimal('35.383822'), Decimal('45.030209'))"
Noble estates Hvalevskoe,Granges,Vologda Region,Borisovo-Trial,"(Decimal('36.00109'), Decimal('59.905136'))"
Noble estates of the Pskov region,Granges,Pskov region,,"(Decimal('29.236911'), Decimal('57.236486'))"
House of Art (Shishkov Manor),Granges,Tomsk region,Tomsk,"(Decimal('85.050946'), Decimal('56.469513'))"
House Museum Batyushkovs and Alexander Kuprin,literary museums,Vologda Region,Danilovskoe,Not found
House-Museum VI Lenin,Granges,Republic of Tatarstan,Kazan,"(Decimal('49.013771'), Decimal('55.804794'))"
Dubasovo,Granges,Vladimir region,Dubasovo,"(Decimal('40.838149'), Decimal('55.781286'))"
Oaks,Granges,Vladimir region,Oaks,"(Decimal('38.710014'), Decimal('56.112086'))"
Yeltsin,Granges,Vladimir region,Yeltsin,"(Decimal('39.614851'), Decimal('56.210197'))"
Esiplevo,Granges,Vladimir region,Esiplevo,"(Decimal('39.542482'), Decimal('56.302473'))"
Zabelino,Granges,Vladimir region,Zabelino,"(Decimal('39.433705'), Decimal('56.365468'))"
Zavalin,Granges,Vladimir region,Cherry,"(Decimal('39.459307'), Decimal('56.206111'))"
"Country estate Mikhalkov ""Peter""",Granges,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.86173'), Decimal('58.007608'))"
Zinoviev,Granges,Vladimir region,Zinoviev,"(Decimal('39.419503'), Decimal('56.155187'))"
Ilinskoe,Granges,Vladimir region,Ilinskoe,"(Decimal('39.360367'), Decimal('56.395666'))"
"Having ""Help""",architecture,Tambov Region,Sovyetsk,"(Decimal('42.357829'), Decimal('52.238747'))"
"Historical-cultural and natural museum-reserve IS Turgenev ""Bezhin meadow""",Reserve museums,Tula region,,Not found
Kirsanikha,Granges,Vladimir region,,"(Decimal('40.898894'), Decimal('55.904195'))"
cyst,Granges,Vladimir region,,"(Decimal('40.280673'), Decimal('56.471059'))"
Koverino,Granges,Vladimir region,Koverino,"(Decimal('40.894105'), Decimal('56.362626'))"
Kolomenskoye,"Gardens, squares, parks",Moscow,,"(Decimal('37.659308'), Decimal('55.672991'))"
Krutets,Granges,Vladimir region,Krutets,"(Decimal('38.748039'), Decimal('56.377168'))"
Krutov,Granges,Vladimir region,Krutov,"(Decimal('41.338304'), Decimal('56.193367'))"
Merchant mansion Berezhok,Granges,Leningrad region,SOMI,Not found
Kuskovo,Granges,Moscow,,"(Decimal('37.826601'), Decimal('55.735348'))"
Literary Museum Igor Northerner,"Personal, memorial museum",Vologda Region,Vladimirovka,"(Decimal('37.455938'), Decimal('59.172113'))"
Memorial Museum-Estate of Academician IP Pavlova,galleries,Ryazan Oblast,Ryazan,"(Decimal('39.743714'), Decimal('54.611549'))"
Mihalkovo,Granges,Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
Museum Demidovs,Other museums,Nizhny Novgorod Region,chicago,"(Decimal('45.671086'), Decimal('55.985926'))"
"Museum ""Manor SN Hedekova """,Reserve museums,Ryazan Oblast,,"(Decimal('39.725101'), Decimal('53.913741'))"
Музей-усадьба &quot;Малое Пирогово&quot;,Other museums,Tula region,,Not found
Музей-усадьба &quot;Мемориальный комплекс М.Д. Скобелева&quot;,Granges,Ryazan Oblast,,Not found
"Museum-Estate AS Khomyakov ""Bogucharovo""",galleries,Tula region,Tula,"(Decimal('37.831138'), Decimal('53.920237'))"
"Museum-Estate of AT Bolotov ""Dvoryaninova""","Personal, memorial museum",Tula region,,Not found
Museum-Estate GR Derzhavin,"Personal, memorial museum",St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Museum-Estate of Michael Prishvina,galleries,Moscow region,Dunino,"(Decimal('36.940279'), Decimal('55.722436'))"
Museum-Estate of Nicholas Roerich Izvara,"Personal, memorial museum",Leningrad region,cottage cheese,"(Decimal('29.518038'), Decimal('59.352351'))"
"Museum-Estate of PP Semenov-Tyan-Shan ""Ryazanka""",Granges,Lipetsk region,Ryazanka,"(Decimal('39.579412'), Decimal('53.501822'))"
"Museum-Estate of Rachmaninov ""Ivanovka""",Granges,Tambov Region,Ivanovka,"(Decimal('42.002788'), Decimal('51.953175'))"
Manor Redkino,Granges,Leningrad region,Redkin,"(Decimal('29.023722'), Decimal('59.163336'))"
Nicholas park,Granges,Vologda Region,Nikolskoye,"(Decimal('42.524377'), Decimal('59.49079'))"
Duke hunting lodge Mecklenburg-Strelitz,Granges,Leningrad region,Cheremykino,"(Decimal('28.3314'), Decimal('59.349324'))"
"Hunting manor cordon ""Menagerie""",Granges,Voronezh region,,"(Decimal('39.24611'), Decimal('51.896013'))"
Pankov,Granges,Vladimir region,,"(Decimal('39.092992'), Decimal('56.096543'))"
Park and manor Vinogradovo,"Gardens, squares, parks",Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
The park and the estate Znamenskoye-Sadki,"Gardens, squares, parks",Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
Park and manor Luchino,"Gardens, squares, parks",Moscow,Peredelkino,"(Decimal('37.337864'), Decimal('55.651303'))"
Park and manor Sviblovo,"Gardens, squares, parks",Moscow,,"(Decimal('37.636608'), Decimal('55.861711'))"
Park and manor Usachev-Naydenov,"Gardens, squares, parks",Moscow,,"(Decimal('37.659146'), Decimal('55.751543'))"
Park Estate Vorontsovo,"Gardens, squares, parks",Moscow,,"(Decimal('37.652256'), Decimal('55.753504'))"
Long Glade Manor,Granges,Republic of Tatarstan,long Glade,"(Decimal('48.941798'), Decimal('55.049328'))"
Tolstoy family estate of Nikolskoye-Vyazemskoye,literary museums,Tula region,,"(Decimal('37.400243'), Decimal('54.832261'))"
Ryuminskoe,Granges,Vladimir region,,"(Decimal('38.778771'), Decimal('56.520564'))"
Siberian manor Lampsakova,Granges,Tomsk region,,"(Decimal('86.117327'), Decimal('57.065697'))"
Smolnevo,Granges,Vladimir region,,"(Decimal('38.969384'), Decimal('56.271815'))"
Snegirjovo,Granges,Vladimir region,Snegirevo,"(Decimal('39.689528'), Decimal('56.236366'))"
old Tatarovo,Granges,Vladimir region,,"(Decimal('42.133107'), Decimal('55.889563'))"
"Creative estate ""Guslitsa""",Granges,Moscow region,,"(Decimal('38.9605'), Decimal('55.442592'))"
Усадебно-парковый комплекс &quot;Терпилицы&quot;,Granges,Leningrad region,,Not found
Manor house Skuratov,Granges,Lipetsk region,Pavlov,"(Decimal('40.454829'), Decimal('52.232344'))"
Усадебный дом и парк &quot;Сиворицы&quot;,Granges,Leningrad region,,Not found
Усадьба &quot;Надбелье&quot;,Granges,Leningrad region,,Not found
Усадьба &quot;Торбово&quot;,Granges,Voronezh region,,Not found
Усадьба &quot;Торбово&quot;,Granges,Voronezh region,,Not found
"Farmstead ""Belaya Dacha""",Granges,Moscow region,Boilermakers,"(Decimal('37.851934'), Decimal('55.662806'))"
"Farmstead ""Big Vyazemy""",Granges,Moscow region,big Vyazemy,"(Decimal('36.99442'), Decimal('55.628586'))"
"Farmstead ""Vinogradovo""",Granges,Moscow region,Dolgoprudny,"(Decimal('37.537946'), Decimal('55.945811'))"
"Farmstead ""Lenin Hills""",Granges,Moscow region,Lenin Hills,"(Decimal('37.76336'), Decimal('55.530454'))"
"Farmstead ""Gifts""",Granges,Moscow region,Darovoe,"(Decimal('38.742218'), Decimal('54.689237'))"
"Farmstead ""Dubtsov""",Granges,Novgorod region,Batetskaya,"(Decimal('30.485542'), Decimal('58.599221'))"
"Manor ""Zaharovo""",Granges,Moscow region,Zakharov,"(Decimal('38.331778'), Decimal('55.668666'))"
"Farmstead ""Znamenskoye Gubaylovo"" (Cultural and Exhibition Center)",galleries,Moscow region,Krasnogorsk,"(Decimal('37.321739'), Decimal('55.821462'))"
"Farmstead ""Lopasnya-Conception""",Granges,Moscow region,Czechs,"(Decimal('37.503522'), Decimal('55.210177'))"
"Farmstead ""Melikhovo""",Granges,Moscow region,Melihovo,"(Decimal('37.631029'), Decimal('56.191048'))"
"Farmstead ""Nesvoyskoe""",tourist camps,Vologda Region,Nesvoyskoe,"(Decimal('39.511616'), Decimal('59.355645'))"
"Farmstead ""Orekhovno""",Granges,Pskov region,Orekhovno,"(Decimal('29.521326'), Decimal('56.217535'))"
"Farmstead ""Petrovskoye-Alabino""",Granges,Moscow region,ALABIN,"(Decimal('37.000834'), Decimal('55.525369'))"
"Farmstead ""Semenov-Joy""",Granges,Moscow region,Semenov,"(Decimal('37.7615'), Decimal('55.060621'))"
"Manor ""Serednykovo""",Granges,Moscow region,,"(Decimal('37.241484'), Decimal('55.927573'))"
"Farmstead ""Halahalnya""",Granges,Pskov region,Khalakhalinya,"(Decimal('27.974436'), Decimal('57.811023'))"
"Estate ""Yasnaya Polyana""",Granges,Republic of Crimea,,"(Decimal('34.180438'), Decimal('45.038509'))"
AV Manor Romanova,Granges,Lipetsk region,whenever,"(Decimal('38.100273'), Decimal('52.147966'))"
AI Manor Gubin,Granges,Astrakhan region,Astrakhan,Not found
Mountain Manor Akulova,Granges,Moscow region,Pushkino,"(Decimal('37.812956'), Decimal('56.01164'))"
Manor Almazovo,Granges,Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
Manor Almazovo,Granges,Moscow region,Almazovo,"(Decimal('38.033968'), Decimal('55.847856'))"
Manor Annino,Granges,Moscow region,Annino,"(Decimal('38.667658'), Decimal('54.379263'))"
Manor Aseeva Arzhenka,Granges,Tambov Region,Rasskazovo,"(Decimal('41.945485'), Decimal('52.683305'))"
Manor Batashev,Granges,Ryazan Oblast,Gus-Iron,"(Decimal('41.163726'), Decimal('55.057203'))"
Manor Bezobrazov Patakino,Granges,Vladimir region,,"(Decimal('40.911012'), Decimal('56.269771'))"
Conversations Manor,Granges,Moscow region,conversations,"(Decimal('37.795771'), Decimal('55.617602'))"
Manor Bituevyh,Granges,Republic of North Ossetia - Alania,Galiat,"(Decimal('43.847811'), Decimal('42.920194'))"
Manor Boblovo,Granges,Moscow region,Boblovo,"(Decimal('37.013491'), Decimal('56.380822'))"
Manor Bryanchaninovs,Granges,Vologda Region,Pokrovskoye,"(Decimal('40.172462'), Decimal('60.595105'))"
Manor Bykovo,Granges,Moscow region,chicago,"(Decimal('38.071491'), Decimal('55.626629'))"
"VI Manor Aigina ""Talitsy""",Granges,Moscow region,Talitsy,"(Decimal('37.105488'), Decimal('55.882752'))"
VS Manor Khrapovitsky in Muromtsevo,Granges,Vladimir region,Muromtseva,"(Decimal('40.89778'), Decimal('55.892466'))"
Manor Vavilov,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Manor Vassilyevskoe,Granges,Moscow region,Vasylevskoe,"(Decimal('37.400252'), Decimal('55.002661'))"
Manor Vasya,Granges,Moscow region,Vasin,"(Decimal('37.496983'), Decimal('56.546788'))"
Manor Vedrova,Granges,Lipetsk region,,"(Decimal('38.224106'), Decimal('52.359931'))"
Vorontsov Manor in St. Andrew,Granges,Vladimir region,Andreev,Not found
Manor Vsevolozhsk in Zherehovo,Granges,Vladimir region,Zherehovo,Not found
Manor Derzhavin Zvanka,Granges,Novgorod region,Treguʙovo,"(Decimal('32.723551'), Decimal('57.514494'))"
Manor Gali,Granges,Vologda Region,Cherepovets,"(Decimal('37.903461'), Decimal('59.122612'))"
Glinka Manor,Granges,Moscow region,sanatorium Monino,"(Decimal('36.842236'), Decimal('55.892471'))"
Golitsyn Manor in Zubrilova,Granges,Penza region,,"(Decimal('43.387415'), Decimal('52.384173'))"
Golitsyn Manor in Sims,Granges,Vladimir region,,"(Decimal('39.712174'), Decimal('55.956315'))"
Golitsyn Manor in the village of Murom-Prechistoye,architecture,Smolensk region,Prechistoe,"(Decimal('34.628797'), Decimal('55.662471'))"
Manor Gorenki,Granges,Moscow region,Balashikha,"(Decimal('37.912669'), Decimal('55.790241'))"
Manor Goretovo,Granges,Moscow region,Goretovo,"(Decimal('35.820412'), Decimal('55.609019'))"
"Manor Grave ""spaciousness""",Granges,Novgorod region,Kulotino,Not found
Manor Grebnevo,Granges,Moscow region,Grebnevo,"(Decimal('38.092781'), Decimal('55.953336'))"
Manor Gulevich,Granges,Bryansk region,specific Uta,"(Decimal('33.964951'), Decimal('52.862359'))"
Manor Demidovs,Granges,Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
Manor Dubrovitzy,Granges,Moscow region,Dubrovitzy,"(Decimal('37.487559'), Decimal('55.438823'))"
Manor Dumnova in district,Granges,Vladimir region,district,Not found
Manor Zazovskaya,Granges,Transbaikal region,Chita,"(Decimal('113.468467'), Decimal('52.140152'))"
Manor Znamenskoye Rayok,Granges,Tver region,Marino,"(Decimal('36.824665'), Decimal('56.645217'))"
Manor Ivan Logginovich Goremykina,Granges,Novgorod region,Lyubytino,"(Decimal('33.390181'), Decimal('58.811115'))"
Manor Ilzho,Granges,Leningrad region,,"(Decimal('29.695653'), Decimal('58.637958'))"
Manor KM Plotnikov,Granges,Voronezh region,Voronezh,"(Decimal('39.240783'), Decimal('51.847913'))"
"Manor Kamenskih ""Saburovskaya fortress""",Granges,Oryol Region,Saʙurovo,"(Decimal('35.929413'), Decimal('52.889729'))"
Manor Karacharovo,Granges,Vladimir region,,"(Decimal('40.011807'), Decimal('56.08763'))"
Manor Konstantinovo,Granges,Moscow region,GSA Konstantinovo,"(Decimal('37.714249'), Decimal('55.432929'))"
Manor Kosmodemyanskiy-Zotov,Granges,Moscow,,"(Decimal('37.513035'), Decimal('55.842989'))"
Manor Krivyakino,Granges,Moscow region,Voskresensk,"(Decimal('38.673353'), Decimal('55.322978'))"
Manor Kuzminki,"Gardens, squares, parks",Moscow,,"(Decimal('37.766145'), Decimal('55.705463'))"
Manor Lazhechnikov,Granges,Moscow region,Kolomna,"(Decimal('38.752917'), Decimal('55.103152'))"
Manor Laptev,Granges,Vladimir region,Laptev,"(Decimal('40.744509'), Decimal('56.244045'))"
Manor Lunin,Granges,Ryazan Oblast,,"(Decimal('40.156849'), Decimal('54.542472'))"
Manor Lyubvin,Granges,Moscow region,Tučkovo,"(Decimal('36.493052'), Decimal('55.59984'))"
Manor Mikhailovskoe Shorygina-Georgian,Granges,Vladimir region,,"(Decimal('39.915337'), Decimal('56.05033'))"
Manor Muromtseva,architecture,Lipetsk region,Balovnevo,"(Decimal('39.035931'), Decimal('53.215521'))"
Manor NE Zhukovsky Orekhovo,Granges,Vladimir region,walnut,Not found
Manor Nazarevo,Granges,Moscow region,Nazarevo,"(Decimal('38.769365'), Decimal('55.753514'))"
Manor Naryshkins Bykov Mountain,Granges,Ryazan Oblast,Nikolaevka,"(Decimal('42.063254'), Decimal('54.034675'))"
Manor Nelidova,Granges,Kursk region,Moisture 1st,"(Decimal('36.091595'), Decimal('51.720297'))"
Nikolskoye-Prozorovskaya,Granges,Moscow region,Mytishchi,"(Decimal('37.592464'), Decimal('56.037986'))"
Manor Ostashevo,Granges,Moscow region,Ostashev,"(Decimal('35.865435'), Decimal('55.854956'))"
Manor PA Boreyshi,Granges,Novgorod region,LZI,"(Decimal('32.723551'), Decimal('57.514494'))"
Manor PM Maltsev,Granges,Saratov region,,"(Decimal('45.387865'), Decimal('51.305671'))"
PS Manor Pallas,Granges,Republic of Crimea,Simferopol,Not found
Manor Perkhushkovo,Granges,Moscow region,Perkhushkovo,"(Decimal('37.127838'), Decimal('55.650886'))"
Manor Pehra-Yakovlevskoye,Granges,Moscow region,Balashikha,"(Decimal('37.925865'), Decimal('55.74867'))"
Manor Pokrovskoye-Rubtsovo,Granges,Moscow region,Pioneer,"(Decimal('36.784304'), Decimal('55.896438'))"
Manor Pryamuhino,Granges,Tver region,Pryamuhino,"(Decimal('34.446879'), Decimal('56.937147'))"
Manor Pushchino-on-Nara,Granges,Moscow region,Pushchino,"(Decimal('37.363376'), Decimal('54.938736'))"
Manor Razdumovo,Granges,Yaroslavskaya oblast,Tihmenevo,"(Decimal('38.609842'), Decimal('57.992699'))"
Manor Raika,Granges,Moscow region,Youth,"(Decimal('38.133484'), Decimal('55.924174'))"
Manor Rastorguyeva - Kharitonov,Granges,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor Rukavishnikov,Other museums,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.007927'), Decimal('56.293886'))"
Manor Rumyantsev-Transdanubian,Granges,Bryansk region,Great Topalov,"(Decimal('32.359149'), Decimal('52.540727'))"
Manor Sandetsky,Granges,Republic of Tatarstan,Kazan,"(Decimal('49.161193'), Decimal('55.690268'))"
Manor Serednykovo,Granges,Moscow,,"(Decimal('37.241484'), Decimal('55.927573'))"
Manor Spasskoe- Kurkino,Granges,Vologda Region,Kurkino (Maiskoe MO),"(Decimal('39.62749'), Decimal('59.361671'))"
Manor Stakhoviches,Granges,Lipetsk region,Pal'nite Mikhajlovka,"(Decimal('38.547131'), Decimal('52.752587'))"
Manor Sukhanovo,Granges,Moscow region,Suxanovo,"(Decimal('37.668103'), Decimal('55.533343'))"
Manor Taininsky,Granges,Moscow region,Mytishchi,"(Decimal('37.695286'), Decimal('55.899462'))"
Manor Taneyev in Marinino,Granges,Vladimir region,Marinin,"(Decimal('41.285726'), Decimal('56.139612'))"
"Manor Tokarska ""Cherished""",Granges,Novgorod region,,"(Decimal('32.723551'), Decimal('57.514494'))"
Manor Trubetskoys,Granges,Moscow,,"(Decimal('37.577319'), Decimal('55.728682'))"
Manor Turchaninova,Granges,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
Manor FH Budagova,Granges,Astrakhan region,Astrakhan,"(Decimal('48.033574'), Decimal('46.347869'))"
Manor F. Schatz,Granges,Novgorod region,Okulovka,"(Decimal('33.298679'), Decimal('58.377145'))"
Manor FI Prove and AI Kalisz,Granges,Moscow,,"(Decimal('37.617635'), Decimal('55.755814'))"
Manor Florischi,Granges,Vladimir region,,"(Decimal('39.220616'), Decimal('56.302852'))"
Manor Fryanovo,Granges,Moscow region,Fryanovo,"(Decimal('38.432668'), Decimal('56.129845'))"
Manor Halyutinyh-Sokolov,Granges,Voronezh region,Nikolskoye,"(Decimal('40.952262'), Decimal('51.46949'))"
Manor Cherepanov,Granges,Sverdlovsk region,Visim,"(Decimal('59.496463'), Decimal('57.651605'))"
Manor Cherkizovo,Granges,Moscow region,Cherkizovo,"(Decimal('37.798206'), Decimal('55.965335'))"
Усадьба Чичериных &quot;Покровское&quot;,Granges,Tambov Region,,Not found
Manor Schatiloff,Granges,Republic of Crimea,Blooming,"(Decimal('34.878726'), Decimal('45.496336'))"
